item_id,current_on_hand,safety_stock,reorder_point,last_updated
7988,2445,1000,1002,03/01/2026 00:00:00
7989,1312,1000,1001,03/01/2026 00:00:00
7990,42,500,500,03/01/2026 00:00:00
7991,0,1000,1000,03/01/2026 00:00:00
7992,0,1000,1000,03/01/2026 00:00:00
7994,0,500,500,03/01/2026 00:00:00
7997,0,500,500,03/01/2026 00:00:00
7998,0,500,500,03/01/2026 00:00:00
7999,1503,500,503,03/01/2026 00:00:00
8000,1100,500,502,03/01/2026 00:00:00
8001,1059,500,502,03/01/2026 00:00:00
8002,1534,500,503,03/01/2026 00:00:00
8003,869,500,502,03/01/2026 00:00:00
8004,1084,500,502,03/01/2026 00:00:00
8005,1076,500,502,03/01/2026 00:00:00
8006,1050,500,502,03/01/2026 00:00:00
8007,1033,500,502,03/01/2026 00:00:00
8008,466,1000,1000,03/01/2026 00:00:00
8009,1172,500,502,03/01/2026 00:00:00
8010,1138,500,502,03/01/2026 00:00:00
8011,865,500,502,03/01/2026 00:00:00
8012,751,250,253,03/01/2026 00:00:00
8013,461,1000,1000,03/01/2026 00:00:00
8014,1109,500,502,03/01/2026 00:00:00
8015,1572,500,503,03/01/2026 00:00:00
8016,1037,500,502,03/01/2026 00:00:00
8017,584,250,252,03/01/2026 00:00:00
8018,1118,500,502,03/01/2026 00:00:00
8019,1128,500,502,03/01/2026 00:00:00
8020,1408,500,503,03/01/2026 00:00:00
8021,1170,500,502,03/01/2026 00:00:00
8022,1131,500,502,03/01/2026 00:00:00
8023,1328,500,503,03/01/2026 00:00:00
8024,1180,500,502,03/01/2026 00:00:00
8025,1110,500,502,03/01/2026 00:00:00
8026,1148,500,502,03/01/2026 00:00:00
8027,1088,500,502,03/01/2026 00:00:00
8028,1132,500,502,03/01/2026 00:00:00
8029,971,500,502,03/01/2026 00:00:00
8030,966,500,502,03/01/2026 00:00:00
8099,0,1000,1000,03/01/2026 00:00:00
8100,0,1000,1000,03/01/2026 00:00:00
8101,0,500,500,03/01/2026 00:00:00
8103,0,500,500,03/01/2026 00:00:00
8105,0,500,500,03/01/2026 00:00:00
8107,258,500,501,03/01/2026 00:00:00
8108,0,1000,1000,03/01/2026 00:00:00
8109,0,1000,1000,03/01/2026 00:00:00
8110,0,1000,1000,03/01/2026 00:00:00
8111,0,1000,1000,03/01/2026 00:00:00
8112,0,1000,1000,03/01/2026 00:00:00
8113,0,1000,1000,03/01/2026 00:00:00
8114,0,1000,1000,03/01/2026 00:00:00
8115,0,1000,1000,03/01/2026 00:00:00
8116,0,1000,1000,03/01/2026 00:00:00
8117,0,1000,1000,03/01/2026 00:00:00
8118,0,1000,1000,03/01/2026 00:00:00
8119,0,1000,1000,03/01/2026 00:00:00
8120,0,1000,1000,03/01/2026 00:00:00
8121,0,1000,1000,03/01/2026 00:00:00
8122,0,1000,1000,03/01/2026 00:00:00
8123,0,1000,1000,03/01/2026 00:00:00
8124,0,1000,1000,03/01/2026 00:00:00
8125,0,1000,1000,03/01/2026 00:00:00
8126,0,1000,1000,03/01/2026 00:00:00
8127,0,1000,1000,03/01/2026 00:00:00
8128,0,1000,1000,03/01/2026 00:00:00
8129,0,1000,1000,03/01/2026 00:00:00
8130,0,1000,1000,03/01/2026 00:00:00
8131,0,1000,1000,03/01/2026 00:00:00
8132,-600,1000,999,03/01/2026 00:00:00
8133,-1212,1000,999,03/01/2026 00:00:00
8134,-180,1000,1000,03/01/2026 00:00:00
8135,-1860,1000,998,03/01/2026 00:00:00
8136,840,1000,1001,03/01/2026 00:00:00
8138,0,500,500,03/01/2026 00:00:00
8139,0,500,500,03/01/2026 00:00:00
8140,0,500,500,03/01/2026 00:00:00
8141,0,500,500,03/01/2026 00:00:00
8142,0,500,500,03/01/2026 00:00:00
8143,0,500,500,03/01/2026 00:00:00
8144,0,500,500,03/01/2026 00:00:00
8145,0,500,500,03/01/2026 00:00:00
8146,0,500,500,03/01/2026 00:00:00
8147,0,500,500,03/01/2026 00:00:00
8148,0,500,500,03/01/2026 00:00:00
8149,0,500,500,03/01/2026 00:00:00
8151,0,500,500,03/01/2026 00:00:00
8152,0,500,500,03/01/2026 00:00:00
8153,0,1000,1000,03/01/2026 00:00:00
8154,0,1000,1000,03/01/2026 00:00:00
8155,0,1000,1000,03/01/2026 00:00:00
8156,0,500,500,03/01/2026 00:00:00
8157,1118,1000,1001,03/01/2026 00:00:00
8158,1092,1000,1001,03/01/2026 00:00:00
8159,8,1000,1000,03/01/2026 00:00:00
8160,2,1000,1000,03/01/2026 00:00:00
8161,1,1000,1000,03/01/2026 00:00:00
8162,200,1000,1000,03/01/2026 00:00:00
8164,0,500,500,03/01/2026 00:00:00
8165,0,500,500,03/01/2026 00:00:00
8166,0,500,500,03/01/2026 00:00:00
8167,0,500,500,03/01/2026 00:00:00
8168,0,500,500,03/01/2026 00:00:00
8169,0,500,500,03/01/2026 00:00:00
8170,0,500,500,03/01/2026 00:00:00
8171,0,500,500,03/01/2026 00:00:00
8172,0,500,500,03/01/2026 00:00:00
8173,0,500,500,03/01/2026 00:00:00
8174,0,500,500,03/01/2026 00:00:00
8175,300,500,501,03/01/2026 00:00:00
8176,0,500,500,03/01/2026 00:00:00
8177,1008,500,502,03/01/2026 00:00:00
8178,1008,500,502,03/01/2026 00:00:00
8179,300,500,501,03/01/2026 00:00:00
8183,0,500,500,03/01/2026 00:00:00
8191,0,1000,1000,03/01/2026 00:00:00
8192,0,500,500,03/01/2026 00:00:00
8193,0,500,500,03/01/2026 00:00:00
8194,3278,500,507,03/01/2026 00:00:00
8199,0,500,500,03/01/2026 00:00:00
8200,0,500,500,03/01/2026 00:00:00
8201,0,500,500,03/01/2026 00:00:00
8202,0,500,500,03/01/2026 00:00:00
8205,0,500,500,03/01/2026 00:00:00
8207,0,500,500,03/01/2026 00:00:00
8208,0,500,500,03/01/2026 00:00:00
